source_id,company_id,title,publisher,source_type,url,local_path,published_at,retrieved_at,evidence_tier,verification_status,notes
MSFT_SEC_FACTS,MSFT,SEC Companyfacts - Microsoft,SEC,regulatory_json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,raw/sec/MSFT_companyfacts.json,2026-04-29,2026-07-17,primary,verified,Quarterly GAAP facts
MSFT_IR_Q3_RELEASE,MSFT,Microsoft FY2026 Q3 results,Microsoft,company_ir,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,raw/ir/MSFT/msft_fy26q3_press_release_webcast.html,2026-04-29,2026-07-17,primary,verified,Actuals segments and guidance
MSFT_IR_Q3_TRANSCRIPT,MSFT,Microsoft FY2026 Q3 earnings call transcript,Microsoft,company_ir_transcript,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,raw/ir/MSFT/msft_fy26q3_earnings_call.html,2026-04-29,2026-07-17,primary,verified,Official full transcript page
MSFT_CAPITAL_PRE_20260429,MSFT,Microsoft pre-earnings consensus snapshot,Capital.com,dated_market_preview,https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026,processed/MSFT_capital_pre_earnings_2026-04-29.txt,2026-04-29,2026-07-17,secondary_dated,verified,Bloomberg estimates and Public.com target/count
MSFT_HENRY_20260422,MSFT,Henry Fund Microsoft report,Henry Fund,student_equity_research,https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf,raw/research/MSFT/msft_henry_fund_2026-04-22.pdf,2026-04-22,2026-07-17,secondary_dated,verified,Event-date peer multiples and target test vector
MSFT_STOCKANALYSIS_POST,MSFT,Microsoft analyst forecast snapshot,StockAnalysis,market_snapshot,https://stockanalysis.com/stocks/msft/statistics/,processed/MSFT_stockanalysis_statistics_2026-07-17.txt,2026-07-17,2026-07-17,secondary_snapshot,verified,Post-event consensus ground truth
MSFT_YAHOO_PRE,MSFT,MSFT pre-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/MSFT,raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-28,2026-07-17,market_data,verified,Pre-event close
MSFT_YAHOO_POST,MSFT,MSFT post-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/MSFT,raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-30,2026-07-17,market_data,verified,Post-event close
MSFT_ZACKS_HISTORY,MSFT,Microsoft detailed earnings estimates,Zacks,estimate_history,https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates,,2026-04-29,2026-07-17,secondary_history_remote,verified,Historical EPS forecast and actual series
MSFT_IR_Q1_EVENT,MSFT,Microsoft FY2026 Q1 earnings call,Microsoft,company_ir,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q1,,2025-10-29,2026-07-17,primary_remote,verified,FY2026 Q2 management guidance source
